Wavelength	K000100001.asd	K000100002.asd	K000100003.asd	K000100004.asd	K000100005.asd	K000100006.asd	K000200000.asd	K000200001.asd	K000200002.asd	K000200003.asd	K000200004.asd	K000200005.asd	K000300000.asd	K000300001.asd	K000300002.asd	K000300003.asd	K000300004.asd	K000300005.asd	K000400000.asd	K000400001.asd	K000400002.asd	K000400003.asd	K000400004.asd	K000400005.asd	K000500000.asd	K000500001.asd	K000500002.asd	K000500003.asd	K000500004.asd	K000500005.asd	K000600000.asd	K000600001.asd	K000600002.asd	K000600003.asd	K000600004.asd	K000600005.asd	K000700000.asd	K000700001.asd	K000700002.asd	K000700003.asd	K000700004.asd	K000700005.asd	K000800000.asd	K000800001.asd	K000800002.asd	K000800003.asd	K000800004.asd	K000800005.asd	K000900000.asd	K000900001.asd	K000900002.asd	K000900003.asd	K000900004.asd	K000900005.asd	K001000000.asd	K001000001.asd	K001000002.asd	K001000003.asd	K001000004.asd	K001000005.asd
546	7.42248084777877E-02	9.11369304935109E-02	0.111505448648146	0.103404003797301	0.130307388675124	9.32156046077129E-02	0.10896137628642	0.149491698151582	0.15983572724042	0.149574249963465	0.137809458285578	0.128040054989849	8.80154831935267E-02	9.10008598246505E-02	6.73870038476125E-02	7.92748688629002E-02	9.55840952060414E-02	8.42733199742959E-02	0.18833416646744	0.203379075531718	0.197912965248268	9.26969371170906E-02	0.130764379407329	0.14773462221734	0.1041001306993	0.101407125220112	0.112570774992428	8.20473697837996E-02	9.09118359703877E-02	9.24689090063174E-02	0.109072039441865	9.83071391868479E-02	0.107457029601594	9.17753413571455E-02	0.104541663766789	0.116945613651804	0.147690696430806	0.155606820253756	0.160150712915765	0.107783699457956	9.49128982341903E-02	0.106704633875063	0.103612693274162	0.129918542551925	0.115079781193757	0.109048765332632	0.1140178167425	0.110557770515067	0.123395234460549	0.120772568278857	0.127091000872847	9.53836516728775E-02	0.121776330041936	0.127919640058931	0.143140046324313	0.164115125604087	8.94401702025201E-02	8.38699703348655E-02	9.17554876150297E-02	 0.103931075011183 
547	7.52499109928829E-02	9.21973379393276E-02	0.112633488077206	0.104372569750791	0.131547397563994	9.44660899682595E-02	0.110137112546179	0.151054616151076	0.161471927463345	0.151001424230549	0.139373546778398	0.129413553395329	8.89957322904053E-02	9.21278520568538E-02	6.83195743600378E-02	8.03339588136079E-02	9.67246918011218E-02	8.51243036593662E-02	0.189847771398615	0.204859939169042	0.199527704315447	9.36574276662699E-02	0.132024617789816	0.149081265574495	0.10520021655133	0.102526197636145	0.113784896921569	8.31993452706286E-02	0.092084805336741	9.34369708828871E-02	0.110376371400394	9.95115475339846E-02	0.108687466234941	9.28757179661223E-02	0.105706417808831	0.118287963499619	0.148993052573002	0.156919743327143	0.161754785571407	0.108924928242098	9.59656200754689E-02	0.107844281395559	0.104623624228228	0.131255124901196	0.116319669010629	0.109923713508411	0.115319767789825	0.111616380037177	0.124406475459105	0.121869311475093	0.128243562723732	9.63490857191194E-02	0.123047485376527	0.129050110839224	0.144520398030926	0.165408475540362	9.04336803720565E-02	8.47965588944408E-02	9.27993503241978E-02	 0.104943980919749 
548	7.61877720648458E-02	9.32365040661711E-02	0.11376646254062	0.105250709402225	0.132851310530377	9.55782576783584E-02	0.111251878468794	0.152632202700441	0.163094111575752	0.152511971097794	0.140878326756127	0.130737269184427	9.00110254917472E-02	9.32455214021042E-02	6.94139435324502E-02	8.13825100049641E-02	9.78145955834504E-02	8.60029462814178E-02	0.191308889691556	0.206341205567867	0.201011202794808	9.46278668999854E-02	0.133334536255029	0.150444906213419	0.106232900061271	0.103714545160384	0.114963325845091	8.42872647007959E-02	9.32913448023066E-02	9.45323470222418E-02	0.11177482549164	0.100724384452083	0.109919788129763	9.39103690720718E-02	0.10689037342283	0.119652911651162	0.15024569279997	0.158233731835705	0.163179444487284	0.110046684080996	0.097075385718497	0.108996205164245	0.105622963631284	0.132543491637299	0.117547010772441	0.110835227422566	0.116617729003263	0.112579538632872	0.125482385757512	0.12296447949917	0.12938336726459	9.73708056060902E-02	0.124341499157325	0.130232615126977	0.14581587551613	0.166752221166506	9.13625725987923E-02	0.085709321872877	9.37377126713033E-02	 0.106022262635601 
549	7.71352838725479E-02	9.42536367697939E-02	0.114893865210098	0.106138873621469	0.13422940582317	9.66598860907832E-02	0.11236325808941	0.154159013504492	0.164712002028415	0.154044345460831	0.142357661265327	0.132027467049152	9.10235962702273E-02	9.44242379968464E-02	7.05083040715929E-02	8.24200260908029E-02	9.89275819819377E-02	8.69298731123743E-02	0.19274744772238	0.2078015895091	0.202496587276352	9.55711511480851E-02	0.134680319590713	0.151840956918179	0.107285373279809	0.104935862305749	0.116095863359774	8.53667933892504E-02	9.45311390759572E-02	0.09566251232295	0.11320859944047	0.101948467868923	0.11111756182047	9.49143513451622E-02	0.108097658766191	0.121034345967562	0.151502347477973	0.159494199185337	0.164515446485868	0.11116934978127	9.81837057323219E-02	0.110173888926283	0.106611288253103	0.133808744734327	0.118791172601535	0.111780386571395	0.117901448137534	0.11352284182329	0.126570705145269	0.124060902431454	0.130525794598357	9.83679304685466E-02	0.125589225488139	0.131417255551543	0.147079099074405	0.168073181615055	9.23501291888283E-02	8.66282813931077E-02	0.094632637365652	 0.107089348108724 
550	7.81591250342329E-02	9.52357580977963E-02	0.115970369463703	0.107105736653103	0.135576139593093	9.78325776573547E-02	0.113513756990043	0.155570974654492	0.166310492491163	0.155464546957677	0.143820072540116	0.133309822875874	9.19853571579712E-02	9.56836958265352E-02	7.14121851010236E-02	0.083447065884003	0.100103530445745	8.78628715271158E-02	0.194168538546786	0.209194689746926	0.2040849409896	9.64307380684731E-02	0.135971015232929	0.153219780569189	0.108422964549106	0.106115612887206	0.117198942160264	0.086483501567864	9.57638145073665E-02	9.66892467730388E-02	0.11456375405566	0.103164163861216	0.112252254589443	9.59450898846657E-02	0.109297412560423	0.12239682397751	0.15279154913596	0.160663543549763	0.165891281978232	0.112289547957341	9.92254790914629E-02	0.111349939131404	0.107570395539418	0.135062667275558	0.120031273008343	0.112707734205427	0.119140355942964	0.114519628960953	0.127600064296834	0.125139824336624	0.131657191962261	9.92518613021088E-02	0.126725236287746	0.132539565010411	0.148363541618275	0.169283393946335	9.34459457378085E-02	8.75472005760537E-02	9.55838383221774E-02	 0.108052926600512 
551	7.90071105757086E-02	9.61708016291719E-02	0.117007055139951	0.10796597424477	0.136745203700145	9.88985701667128E-02	0.114590110294707	0.156870835439585	0.167841515733869	0.156724568464756	0.145125672942258	0.134571641658678	0.092949625446455	9.68455859589274E-02	7.22426069287571E-02	8.44025266735575E-02	0.101198657611861	8.86188522069974E-02	0.195514361349828	0.210461473985254	0.205491512429262	9.72550693059156E-02	0.137100623184617	0.154475964951428	0.109464547151736	0.107214060153308	0.118294211707434	8.75167090378965E-02	9.69265113847472E-02	9.77507644132007E-02	0.115953895907516	0.104383186457491	0.11339128769204	0.09701664038845	0.110490041695204	0.123649767648359	0.153936462328965	0.161827938554787	0.167174564933157	0.113300673358857	0.100291679510953	0.112381322220748	0.108535364852034	0.136136150909828	0.121105110454218	0.113597203613652	0.120273519342283	0.11546841806519	0.128671505060713	0.126132648633744	0.132709705082987	0.100203782312078	0.127845882853634	0.133665998316064	0.149528877847234	0.1704712831433	9.43558595941764E-02	8.83789534749268E-02	9.65387917905036E-02	 0.109007825221515 
552	7.98758334532343E-02	9.70810973985084E-02	0.11800327064917	0.108801154334258	0.137875530285842	9.98807763974019E-02	0.115629760785067	0.158161986381258	0.16931409796853	0.157981238643183	0.146442749974439	0.13578732751349	9.39022502495331E-02	9.79618229053733E-02	7.30786083133241E-02	8.53682962960357E-02	0.102240044740636	8.94265120393486E-02	0.196843214982539	0.211672536816271	0.206826429401218	9.80276389217357E-02	0.13822940260919	0.155664580810989	0.11050588216964	0.108337852381085	0.119390121850228	8.85473406318768E-02	9.80857407826127E-02	0.098812966795522	0.117325463175198	0.105561314259555	0.114488594894949	9.79935078635621E-02	0.11163791469064	0.124858204857273	0.155072291292128	0.162903506153457	0.168409704644392	0.11430938952776	0.101300260870853	0.11342813363078	0.109524805657982	0.137228457385604	0.122148460439152	0.114457542420636	0.121358508790327	0.116351914196679	0.129731930778265	0.127085574447268	0.133757082331768	0.10109975664558	0.128929153551296	0.134765256961225	0.150679370770141	0.171641592089435	9.52549429112678E-02	8.92185543996712E-02	9.74069096301657E-02	 0.109946894322839 
553	8.07799995102666E-02	9.79619619166908E-02	0.118930852664319	0.10960677084172	0.138966742893859	0.100811398716006	0.116630643590297	0.159480799044849	0.170717262547939	0.159253967499113	0.147750390177599	0.136947093185057	9.48396907141778E-02	9.90094718135145E-02	7.39805700729723E-02	8.63064295062762E-02	0.103238872967543	9.02911297182662E-02	0.198130719904474	0.212799288927486	0.208125015813872	9.87608681783858E-02	0.139349790046624	0.156803847818005	0.111556600366473	0.109453522296075	0.120485207035275	8.96019091438866E-02	9.92341968761253E-02	9.98607303522166E-02	0.11865325152512	0.106691646879181	0.115558296381938	9.89069104445721E-02	0.112751129725805	0.126062613601558	0.156181158924359	0.163918270328878	0.169609174135242	0.115312495374945	0.102230296832507	0.114505695578725	0.110491566209813	0.138356208802385	0.123191083585656	0.115297836072815	0.122403269146913	0.117209496072686	0.130759799889992	0.128033756774016	0.134804644207953	0.101951967324488	0.129987561130521	0.13583178214567	0.151813117976352	0.17278095074458	9.61889438932152E-02	9.00643020720414E-02	9.82203730415491E-02	 0.110865449422157 
554	8.15863376049531E-02	9.87872134278024E-02	0.11974881434306	0.110312446532414	0.139913642906717	0.101718695440701	0.117566977090869	0.160796146884792	0.172023962872057	0.160448382064562	0.148881863043141	0.138050934128122	9.57653765945922E-02	9.99212538292111E-02	7.49775327593558E-02	8.70986475552579E-02	0.104192907279501	9.10455128337218E-02	0.199293227310601	0.213745647232608	0.209354698280044	9.94869021653847E-02	0.140326974900263	0.157878049099664	0.112554843680016	0.110428242600634	0.121564592406289	9.06521154123567E-02	0.100310510185967	0.100890812990917	0.119937265455171	0.107797626415396	0.116656914633804	9.99092670926822E-02	0.113868715714215	0.127275658327101	0.157130963544744	0.164974732143807	0.17075081918037	0.116219925524915	0.103116002160459	0.115505901409857	0.111346521926083	0.139385556751628	0.124173235395158	0.116121371317746	0.123373156276503	0.118114828406964	0.131757401371531	0.128997445117302	0.135802340731424	0.102870703350714	0.131053507248172	0.136878533215147	0.152844334673502	0.173863640259184	9.70889288853831E-02	9.08388384627024E-02	9.90959166178663E-02	 0.111762422107246 
555	8.23470881201273E-02	9.95753088167587E-02	0.120583423926843	0.111011564631342	0.140887323337433	0.102526333588347	0.118619364870509	0.161984709441769	0.173258114114677	0.161591964116491	0.149958750551277	0.13906636282918	9.66797335392115E-02	0.100974779561939	7.59304634814517E-02	8.79731071619105E-02	0.105159149197665	9.18633378332945E-02	0.200450359494215	0.21470098444342	0.2105259089532	0.100188128238365	0.141322661448158	0.158898714714702	0.113534083527609	0.111452690877204	0.122562184391665	9.16042485685914E-02	0.101440875962262	0.101834770275708	0.121198954660057	0.108905279064647	0.117737492708763	0.100879306600157	0.114881728642524	0.128481285963997	0.158083302349857	0.165885699863659	0.171753076906042	0.117086780965545	0.104043191525452	0.11638082772463	0.112208722233006	0.140322717712413	0.12513128698744	0.116875077832187	0.124269114459484	0.118999784905529	0.132669438944116	0.129983622326902	0.136794545546498	0.103703930443899	0.13203659849238	0.137885163464576	0.153838122668596	0.174924631243636	9.79162982954295E-02	9.16000819456596E-02	9.98915438962658E-02	 0.112678095377905 
556	0.083063631450675	0.100341929685517	0.12139479427553	0.111674116127208	0.141793049824259	0.103268230796182	0.119639110229318	0.163087215024476	0.174450217235778	0.162624700873382	0.150937934359275	0.140036940348874	9.74979916597181E-02	0.102025079464097	7.67716442571347E-02	8.88410548603049E-02	0.106115883366885	9.26521311443397E-02	0.201555616827893	0.215592285746834	0.211632466453923	0.100842757976819	0.142240191367512	0.159846171497046	0.114485270981155	0.112476953422182	0.123519928441887	9.25293436404607E-02	0.102490486526843	0.102720962320019	0.122419060306393	0.10999200266597	0.118773524133557	0.101806267471843	0.115870921725498	0.129672456391418	0.159017224139094	0.166732994012174	0.172710992085167	0.117927627630769	0.10491921869076	0.11721274550393	0.113035837636449	0.141268374162603	0.126014646018667	0.117568427706621	0.125140150950137	0.119819236981366	0.133589989401991	0.130908148957058	0.137739204905	0.10444238631717	0.132975376611508	0.138842650353199	0.154807412755289	0.175933429182513	9.87405972292974E-02	9.23785038898108E-02	0.100652084827639	 0.113531860967341 
557	8.37333338045443E-02	0.101088199144019	0.122152862826475	0.112291356751529	0.142568641357884	0.103982416907653	0.120523402145816	0.164146061873194	0.175606003060732	0.163541191386468	0.151808099467766	0.140995176946454	9.82224413958332E-02	0.102950636244833	7.75166170314223E-02	8.96285276425322E-02	0.107027885502819	9.33610323641428E-02	0.202573272507184	0.216379454670262	0.212667999359219	0.101427315912968	0.143027360576795	0.160711224284803	0.115401644769736	0.113447052560335	0.124486011975143	9.34674375393609E-02	0.103407914354269	0.103607562125275	0.123599971534718	0.111053906427653	0.119769133537986	0.102698259176838	0.116905616399033	0.130828727177363	0.159898890765645	0.167596200192475	0.173682507558229	0.118743648021558	0.105695475414791	0.118062411696599	0.113805465337977	0.14224361441938	0.126813917065532	0.118230053973948	0.125988037322063	0.120579343882754	0.134568575506769	0.13175682748892	0.138621359862727	0.105134245844243	0.133891780888722	0.13976173786381	0.155740769776327	0.176882300497831	9.95908090047158E-02	9.31568875657997E-02	0.10142190169615	 0.114290658276415 
